priority	id	brand	product	category	status	remaining_gap	ask	who_to_ask	last_finding	source_url	notes
P1	TDS-0010	Clearscape	Rosé	Non-alcoholic wine	Still open	ABV + removal method.	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	Clearscape	No reliable product-specific ABV or removal-method documentation located for Clearscape Rosé.		Unclassified
P1	TDS-0017	Dr. Heidemanns Bergweiler	Non-Alcoholic Riesling	Non-alcoholic wine	Still open	ABV + method (dealcoholized vs other).	Production method (dealcoholized vs other) and published ABV	Dr. Heidemanns Bergweiler / importer	No authoritative public ABV or method located for this exact Riesling; keep the importer/producer inquiry.		Both method and ABV Unclassified/Undeclared
P1	TDS-0021	Clearscape	Chardonnay	Non-alcoholic wine	Still open	ABV + removal method.	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	Clearscape	No reliable product-specific ABV or removal-method documentation located for Clearscape Chardonnay.		Unclassified
P1	TDS-0066	Erdinger Weißbräu	Alkoholfrei	Non-alcoholic beer	Still open	Method: dealcoholized vs limited fermentation (and named process if removed).	Is Alkoholfrei dealcoholized after fermentation or limited/arrested fermentation? If removed, by what process (vacuum, RO, etc.)?	Erdinger Weissbräu press / PR	No reliable public confirmation of whether Erdinger Alkoholfrei is dealcoholized or fermentation-limited; keep the producer inquiry.		On-record secrecy (WELT 2010); email is the realistic path
P1	TDS-0085	Penn's Best	Non-Alcoholic Lager	Non-alcoholic beer	Partially resolved	Method; confirm current Genesee/Rochester plant operator.	Is Penn's Best dealcoholized or limited fermentation? Who currently brews it?	Genesee / North American Breweries / FIFCO consumer relations (Rochester)	ABV verified at 0.5%. Current public listings associate it with Genesee, but neither the production method nor the current plant is reliably documented.	https://www.nonalcoholicbeerandwine.com/non-alcoholic-beers/products/genesee-brewing-penns-best	Only 2013 COLA; current plant operator unproven
P1	TDS-0088	Flying Dog Brewery	Deep Fake Non-Alcoholic IPA	Non-alcoholic beer	Partially resolved	Method + whether it changed Yards→Matt; Total Wine “traditionally brewed” is not enough.	Is Deep Fake dealcoholized or limited fermentation? Did method change Yards (2020) → F.X. Matt (2023)?	Flying Dog + F.X. Matt (+ Yards for launch-era)	ABV verified at 0.5%. Third-party reporting says it is traditionally brewed rather than alcohol-removed, but the process and post-acquisition production history remain unverified.	https://www.totalwine.com/theme/flying-dog-beer	Contract-brewed; brand page age-gated
P1	TDS-0090	Pure Project	Grounded Non-Alcoholic IPA	Non-alcoholic beer	Partially resolved	Method; Pure Project own/lease/contract with Prost Northglenn.	Is Grounded dealcoholized or limited fermentation? Does Pure own/lease Northglenn or contract Prost?	Pure Project + Prost Brewing (Northglenn)	ABV verified at <0.5%. Current label says produced and canned in Northglenn by Pure Project; method and the ownership/lease arrangement remain unverified.	https://www.vons.com/shop/pd/pure-project-grounded-n-ipa-cns-4-16-fz/971427254	COLA under Prost; method unpublished
P2	TDS-0001	Be Free	Rosé	Non-alcoholic wine	Partially resolved	Named removal technique (ABV 0.5% done).	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	Be Free	ABV verified at 0.5%; product is dealcoholized after fermentation. The specific proprietary removal method remains unpublished.	https://www.deonlinedrogist.nl/drogist/be-free-rose-alcoholvrij-75ml.htm	"Dealcoholized (""special method"", not detailed)"
P2	TDS-0002	Magic Box	Vanish Riesling	Non-alcoholic wine	Partially resolved	Named removal technique (ABV 0.0% listed).	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	Magic Box	ABV listed as 0.0%. The dealcoholization technique remains unpublished.	https://www.ubereats.com/product/b/18d17516-b655-532b-8465-c83cee24d009	Dealcoholized (method not publicly detailed)
P2	TDS-0003	Appalina	Chardonnay	Non-alcoholic wine	Partially resolved	Named removal technique (ABV <0.5% done).	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	Appalina	ABV verified at <0.5%. Specific technique not located.	https://www.rewe.de/shop/p/appalina-chardonnay-schaumwein-alkoholfrei-0-75l/7067029	Unclassified
P2	TDS-0004	Be Free	White Sparkling	Non-alcoholic sparkling wine	Partially resolved	Named removal technique (ABV 0.5% done).	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	Be Free	ABV verified at 0.5%. It is dealcoholized, but the specific proprietary removal method remains unpublished.	https://alcoholchange.org.uk/low-and-no-alcohol-reviews/be-free-white-sparkling	"Dealcoholized (""special method"", not detailed)"
